"","name","type","tier_name","iclevel","region","state","count","female","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","public","barrons","ipeds_enrollment_2013","sticker_price_2013","graduation_rate_2013","average_faculty_salary_2013","instructional_expenditures_pc_2012","sat_avg_2013","scorecard_netprice_2013","admit_rate_2013","endowment_pc_2000","asian_or_pacific_share_fall_2000","black_share_fall_2000","hisp_share_fall_2000","alien_share_fall_2000","pct_arthuman_2000","pct_business_2000","pct_health_2000","pct_multidisci_2000","pct_publicsocial_2000","pct_stem_2000","pct_socialscience_2000","pct_tradepersonal_2000","access_rate","success_rate"
"1","Abilene Christian University","Private Non-Profit","Selective private","Four-year","South","TX",838.6666667,0.55212357,0.014363834,0.001996945,138760.9698,101000,0.683686359,0.052441352,0.101031977,0.163935739,0.258240046,0.424350886,0.235864907,0.126604725,0.0230491,0.000841904,0.592422012,50874.14613,40100,44400,0.121246202,0.140065296,0.132947591,0.173277369,0.246444071,0.307265673,0.171702009,0.100584479,0.028367675,0.094144827,0.108627178,0.255998166,0.267327011,0.273902819,0.186187623,0.129639054,0.203431209,0.23309061,0.247651504,0.143650521,0.158835985,0.208374547,0.287477197,0.20166175,0.138002099,0.139815036,0.174220124,0.23329166,0.31467108,0.134629595,0.122560388,0.141743014,0.2391946,0.361872404,0,3,3727,29450,0.56561086,5508,NA,1075,20836,0.48940003,NA,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,0.052441352,0.273902819
"2","Abraham Baldwin Agricultural College","Public","Nonselective four-year public","Four-year","South","GA",679.3333333,0.44437351,0.014857337,0.00099537,80366.66127,66000,0.525405982,0.154555182,0.187158613,0.225497056,0.236762581,0.196026568,0.072930537,0.03304462,0.002520282,0.000608527,0.535310711,35346.92997,32500,35400,0.113068782,0.121949777,0.179026922,0.255328872,0.27395723,0.1697372,0.06398078,0.028522131,0.006384978,0.176490734,0.239796031,0.301015292,0.186568282,0.096129661,0.114014611,0.228966502,0.286066844,0.228475947,0.142476096,0.119984916,0.134516864,0.272312019,0.311546099,0.161640103,0.092711515,0.166804541,0.233597754,0.305651807,0.201234383,0.124098177,0.149397704,0.196671093,0.30476101,0.225072016,1,999,3394,3394,NA,4752,2970.9001,925,7887,0.70899999,1594.2852,0.004942966,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131,0.154555182,0.096129661
"3","Academy Of Art University","Private For-profit","Four-year for-profit","Four-year","West","CA",495.6666667,0.416753161,0.016357388,0.001360899,166594.9696,92300,0.649209833,0.093524223,0.122917146,0.175349499,0.211525122,0.396684011,0.244049585,0.147395509,0.035681199,0.003368348,0.516059146,39988.01721,27400,36300,0.186392592,0.205866264,0.193782068,0.18086787,0.158146221,0.261337576,0.163044912,0.087273343,0.014030807,0.267030112,0.185425786,0.206293741,0.166350345,0.174900016,0.209054799,0.191571108,0.218931933,0.136387221,0.244054939,0.199759412,0.220832973,0.181343628,0.146925774,0.251138212,0.1993628,0.192634007,0.167183798,0.188904895,0.251914499,0.196625288,0.185091929,0.170165247,0.151512572,0.296604964,0,999,10508,19740,0.33,7062,NA,NA,28224,NA,NA,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0,0.093524223,0.174900016
"4","Adams State University","Public","Selective public","Four-year","West","CO",393.3333333,0.501918424,0.018844679,3.10155e-05,76121.81634,67200,0.540471235,0.129224392,0.185503884,0.24842875,0.260876334,0.175966639,0.064278462,0.024887405,0.003146715,0,0.552421082,38010.81341,34100,36600,0.112288285,0.121247677,0.159077859,0.243861894,0.272264816,0.203547754,0.07858049,0.030641154,0.005832592,0.169992999,0.201669608,0.218812449,0.263695825,0.14582912,0.128884526,0.183627879,0.235872225,0.289182793,0.162432578,0.105586373,0.147340742,0.264117229,0.280907041,0.202048616,0.117543997,0.159308249,0.227716318,0.291997758,0.203433678,0.105001251,0.118148038,0.266020101,0.219266919,0.291563692,1,4,2284,8014,0.261176471,5986,7574.2627,984,14705,0.52599999,1026.6212,0.0125,0.035096154,0.27548078,0.002403846,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,0.129224392,0.14582912
"5","Adelphi University","Private Non-Profit","Selective private","Four-year","Northeast","NY",509,0.720617197,0.03258507,0.002612555,130723.7409,96300,0.648892214,0.087048019,0.12853861,0.156433861,0.229864533,0.398114977,0.205369803,0.103923967,0.023863256,0.00193671,0.656451893,54029.66686,50700,55000,0.092774801,0.100515406,0.113007554,0.147644596,0.193154482,0.445677963,0.243636737,0.101785808,0.014892664,0.098475188,0.125163606,0.193849549,0.208177236,0.374334421,0.128190303,0.113945962,0.151231798,0.193888463,0.412743474,0.090565274,0.106612946,0.171123408,0.196650435,0.435047937,0.08777559,0.131607619,0.162515832,0.190016221,0.428084738,0.103291674,0.101819971,0.118571601,0.190071059,0.486245694,0,4,5040,32340,0.625141563,11315,15477.037,1115,20512,0.6814,NA,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,0.087048019,0.374334421
"6","Adrian College","Private Non-Profit","Selective private","Four-year","Midwest","MI",240.3333333,0.555802076,0.00956463,4.23077e-05,113708.1117,88500,0.643139329,0.060760294,0.115355947,0.200813262,0.281326941,0.341743556,0.149725906,0.072932913,0.011504383,0.001322675,0.607150203,43944.55249,40300,42700,0.082058196,0.085792046,0.128081856,0.210497398,0.303666648,0.271962052,0.113471565,0.038714341,0.003567733,0.150875579,0.164390579,0.212694692,0.314623361,0.157415789,0.083161868,0.147655779,0.20696786,0.33797786,0.224236633,0.073973458,0.115333705,0.249827504,0.344749901,0.216115431,0.090414379,0.138706265,0.230765411,0.265043372,0.275070572,0.078247952,0.113764009,0.17150237,0.29779081,0.338694861,0,4,1646,32660,0.544513458,7453,5788.0889,990,15774,0.56279999,NA,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0,0.060760294,0.157415789
"7","Adventist University Of Health Sciences","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","South","FL",120.5,0.796312259,0.037858434,7.63851e-05,73132.16039,62900,0.532083189,0.12763433,0.215705448,0.22543769,0.273734704,0.157487829,0.033090452,0.016315292,0.00058266,0.000185221,0.623029865,45837.11396,39200,45500,0.095972378,0.104377727,0.103974903,0.198639895,0.25457831,0.338429165,0.137119333,0.026672954,0.000768332,0.192066611,0.085266986,0.231232553,0.194817465,0.296616386,0.036636572,0.173748747,0.168420782,0.330014723,0.291179177,0.084459918,0.108239434,0.308568705,0.226339075,0.272392868,0.133067038,0.062275604,0.123682777,0.289111387,0.391863193,0.104739587,0.089944188,0.186542154,0.180088597,0.438685473,0,9,2160,12430,0.333333333,6539,5531.8286,925,18425,0.1336,NA,0.084337346,0.13769363,0.17728055,0,0,0,100,0,0,0,0,0,0.12763433,0.296616386
"8","Agnes Scott College","Private Non-Profit","Highly selective private","Four-year","South","GA",164,1,0.014744159,8.42821e-05,148536.1196,97200,0.646476325,0.072003043,0.129967505,0.15526836,0.226090993,0.416670098,0.232552375,0.117624132,0.012381608,0.002919478,0.583357578,45756.53571,38900,47300,0.124918123,0.13175504,0.156675606,0.193110395,0.234351018,0.284107941,0.164719723,0.073669725,0.015001115,0.280223464,0.074104221,0.27148008,0.169420902,0.204771333,0.110971271,0.168730758,0.182854681,0.305753401,0.231689889,0.15743416,0.183979092,0.254960711,0.240333262,0.163292775,0.151936445,0.131433969,0.192503433,0.190688847,0.333437307,0.092061881,0.170706255,0.160047993,0.244762004,0.332421867,0,2,915,35982,0.720183486,8379,12389.005,NA,16756,0.66870001,NA,0.049327355,0.19282511,0.036995515,0.053811658,31.884058,0,0,10.144928,0,15.94203,42.028984,0,0.072003043,0.204771333
"9","Alabama Agricultural & Mechanical University","Public","Selective public","Four-year","South","AL",943.6666667,0.513565519,0.042193098,0.000729114,57659.15269,44500,0.425329574,0.243561168,0.264324457,0.196087702,0.176287716,0.119738957,0.032962187,0.009083641,0.000179344,0.000126663,0.552324673,37065.25163,32900,36200,0.103117342,0.114682812,0.175865371,0.245037379,0.258063735,0.206350702,0.083374694,0.023782137,0.002565126,0.123992673,0.222599327,0.234280848,0.245893058,0.173234095,0.124357413,0.176153199,0.254601858,0.263938898,0.180948632,0.096729041,0.167666648,0.250300157,0.271200345,0.214103809,0.101206638,0.163064164,0.265658739,0.245998678,0.22407178,0.123630975,0.112441632,0.206824994,0.266100795,0.291001605,1,5,4051,9096,0.29138322,7079,NA,843.5,12683,0.8989,NA,0.002968037,0.90547943,0.002739726,0.038812786,1.2844037,20.917431,0,0,4.4036698,38.165138,35.229359,0,0.243561168,0.173234095
"10","Albany College Of Pharmacy And Health Sciences","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","Northeast","NY",129,0.603058748,0.033575329,0.000100101,90997.46899,95800,0.661741039,0.039403551,0.101879336,0.186487645,0.276678448,0.39555102,0.165157267,0.041671878,0.001978402,0.000272034,0.858151886,115474.4415,115800,128200,0.041380756,0.061036421,0.024199345,0.051073609,0.085526809,0.778163816,0.690743433,0.690743433,0.104751209,0.044741362,0,0.065878063,0.037291662,0.852088913,0.121278382,0,0.03132511,0.065597025,0.781799484,0.080410398,0.039945586,0.0751589,0.037168898,0.767316217,0.056634025,0.023798929,0.053064006,0.102330048,0.764172991,0.041088838,0.025699178,0.041937762,0.106510519,0.784763703,0,9,1078,30131,0.723484848,8530,NA,1165,25442,0.634,NA,0.092943199,0.029259896,0.018932875,0.020654045,0,0,100,0,0,0,0,0,0.039403551,0.852088913
